ZipCodePrefix,City,State,Latitude,Longitude,Region,RowEffectiveDate,RowExpirationDate,CurrentFlag
3023,sao paulo,SP,-23.53233839396173,-46.61080527744631,,2025-03-21T13:50:24.495Z,,true
3024,sao paulo,SP,-23.53044482004376,-46.60948106525523,,2025-03-21T13:50:24.495Z,,true
3025,sao paulo,SP,-23.53510381416932,-46.60962590198534,,2025-03-21T13:50:24.495Z,,true
3026,sao paulo,SP,-23.53136421058653,-46.61113186346307,,2025-03-21T13:50:24.495Z,,true
3027,sao paulo,SP,-23.53418514964594,-46.61368134720554,,2025-03-21T13:50:24.495Z,,true
3028,são paulo,SP,-23.527259032999197,-46.611494569062344,,2025-03-21T13:50:24.495Z,,true
3029,sao paulo,SP,-23.52982460593583,-46.618173551632395,,2025-03-21T13:50:24.495Z,,true
3030,sao paulo,SP,-23.52676238171017,-46.61837884296803,,2025-03-21T13:50:24.495Z,,true
3031,sao paulo,SP,-23.531856808842985,-46.620642037787285,,2025-03-21T13:50:24.495Z,,true
3032,são paulo,SP,-23.531106068807187,-46.62163067205092,,2025-03-21T13:50:24.495Z,,true
3033,sao paulo,SP,-23.529559052256953,-46.62416567670172,,2025-03-21T13:50:24.495Z,,true
3034,sao paulo,SP,-23.522969820693564,-46.6174067986714,,2025-03-21T13:50:24.495Z,,true
3035,sao paulo,SP,-23.525580728336962,-46.61466092986009,,2025-03-21T13:50:24.495Z,,true
3036,são paulo,SP,-23.519649231785838,-46.61859872092714,,2025-03-21T13:50:24.495Z,,true
3040,sao paulo,SP,-23.54992371504528,-46.623031043593336,,2025-03-21T13:50:24.495Z,,true
3041,sao paulo,SP,-23.549236748315327,-46.61994837184733,,2025-03-21T13:50:24.495Z,,true
3042,sao paulo,SP,-23.548733452525227,-46.618448706004116,,2025-03-21T13:50:24.495Z,,true
3043,são paulo,SP,-23.547254237397272,-46.617122657146936,,2025-03-21T13:50:24.495Z,,true
3044,sao paulo,SP,-23.55169212845082,-46.62090771478924,,2025-03-21T13:50:24.495Z,,true
3045,sao paulo,SP,-23.54282909583654,-46.60252438520741,,2025-03-21T13:50:24.495Z,,true
3046,sao paulo,SP,-23.544342492642407,-46.61561991312254,,2025-03-21T13:50:24.495Z,,true
3047,sao paulo,SP,-23.542064478545445,-46.605675589722296,,2025-03-21T13:50:24.495Z,,true
3050,sao paulo,SP,-23.544097889764195,-46.612708582341405,,2025-03-21T13:50:24.495Z,,true
3051,sao paulo,SP,-23.545387379388895,-46.608414384433935,,2025-03-21T13:50:24.495Z,,true
3052,sao paulo,SP,-23.540735445893063,-46.60714574002063,,2025-03-21T13:50:24.495Z,,true
3053,sao paulo,SP,-23.54418018293379,-46.60707887325987,,2025-03-21T13:50:24.495Z,,true
3054,sao paulo,SP,-23.542313427616563,-46.60375547072402,,2025-03-21T13:50:24.495Z,,true
3055,sao paulo,SP,-23.540582499843858,-46.599390126046785,,2025-03-21T13:50:24.495Z,,true
3057,sao paulo,SP,-23.541183796388026,-46.596844045911226,,2025-03-21T13:50:24.495Z,,true
3058,sao paulo,SP,-23.539078110086802,-46.59060270875651,,2025-03-21T13:50:24.495Z,,true
3059,sao paulo,SP,-23.54017186746161,-46.591687772658524,,2025-03-21T13:50:24.495Z,,true
